	id	word	word sense	context	w_word	wo_word	followup
0	301	simply		What do you think about all the different diets that people go on?__eou__I don't think dieting is good for you. It's much better to eat a balanced diet and to never get overweight to begin with!__eou__But what do you think about people who are obese? What should they do to lose weight?__eou__They need to eat healthy foods, but they also have to increase the amount of physical exercise every day. They don't have to cut out fattening foods altogether, though.__eou__So you think it's OK for people who are dieting to eat chocolate, don't you?__eou__Sure, they can eat some chocolate. As long as they are exercising and eating mostly healthy foods, there's nothing wrong with having a small dessert.__eou__How about drinking soda?	Many people gain weight by drinking far too much soda. Soda should be treated seriously; there's simply no nutritional value in it whatsoever.	Many people gain weight by drinking far too much soda. Soda should be treated seriously; there's no nutritional value in it whatsoever.	And have you ever tried taking vitamins?
1	934	simply		You are an early bird, Tom. What do you do in the morning then?__eou__Exercise. The morning hours are the most precious period within a single day. We should not pass them up easily. Seize the time and do something useful.__eou__So, you choose to spend it on bodybuilding. Where do you exercise?__eou__Usually, I run to the Black Bamboo Park as a warm-up. Admission is free. Then I start my activities.__eou__Do you do the same exercises every day?	No, I've deliberately kept a balance between various exercises; parallel bars, push-ups, sit-ups, bunny-hops, five-kilometer run, and so on. I alternate them over the weekdays. Sometimes, when I find myself in a bad state, I will simply idle about in the park.	No, I've deliberately kept a balance between various exercises; parallel bars, push-ups, sit-ups, bunny-hops, five-kilometer run, and so on. I alternate them over the weekdays. Sometimes, when I find myself in a bad state, I will idle about in the park.	Why don't you just stay in bed when you are feeling unfit for exercising?
2	1285	simply		What do you think about all the different diets people go on?__eou__I don't think dieting is good for you. It's much better to eat a balanced diet and to never get overweight to begin with!__eou__But what do you think about people who are obese? What should they do to lose weight?__eou__They need to eat healthy foods, but they also have to increase the amount of exercise they do every day. They don't have to cut out fattening foods altogether, though.__eou__So you think it's ok for people who are dieting to eat chocolate?__eou__Sure, they can eat some chocolate. As long as they are exercising and eating mostly healthy foods, there's nothing wrong with having a small dessert.__eou__How about drinking soda?	Many people gain weight by drinking far too much soda. Soda should be a treat; there's simply no nutritional value in it whatsoever. If you want to lose weight and you can't stop drinking soda, try some diet coke.	Many people gain weight by drinking far too much soda. Soda should be a treat; there's no nutritional value in it whatsoever. If you want to lose weight and you can't stop drinking soda, try some diet coke.	That's good advice. Have you ever tried taking vitamins?
3	1347	simply		Hello, Frank.__eou__Hi, Steven. What's new with you?__eou__Not too much. I'm looking to rent an apartment.__eou__Why?__eou__I dislike my roommate. He really turns me off.__eou__What happened? Did you have a fight?__eou__No. He likes to leave his things about and never cleans the room.__eou__I hate that, either. Did you tell him your feelings?	Yes. But he doesn't care. I really wouldn't want to move, but I simply can’t stand him.	Yes. But he doesn't care. I really wouldn't want to move, but I can’t stand him.	It's a problem. You'd better move.
4	1513	simply		The last thing to be ignored at a Chinese dinner table is to keep modest.__eou__Does that suggest diners avoid speaking much? The same is true in the West.__eou__No, absolutely not! On the contrary, you'll be considered a well-connected, sociable man, if you keep involved in the conversation all the time. But always pay attention to what you say. If the table has a senior guest, say something as upbeat and cheerful as possible. Or maybe, you may give the floor to him and keep listening as if very interested.__eou__You mean, keeping a low profile in the presence of the old? That goes in like with Confucius' preachings, right?__eou__Correct. Show respect for the older people. Conventionally, before the meal starts, the younger members are supposed to address each one of the elderly members of the table one by one. Others are kept in waiting until the most venerable guest proclaim the beginning of the meal and takes the first bite. Toasts also go to these men first before people can toast to each other.__eou__Any other rules to observe in order to keep modest?__eou__Yes, plenty of them. Don't eat fast! People usually keep their dining pace accorded with others. And all the dishes should not be eaten up completely.__eou__Is it because that would give the host the impression that the food was insufficient?	Haha, I'm afraid it's simply because no one wishes to be too noticeable by finishing off the plate.	Haha, I'm afraid it's because no one wishes to be too noticeable by finishing off the plate.	
5	1515	simply		In China at least, coffee is often associated with an exotic, well-to-do bourgeois lifestyle. Coffee is often considered a hobby of the well-educated, middle-class people.__eou__Maybe that's why some young chaps often spend a whole afternoon in a coffee bar, surfing the net or just typewriting something with laptop. While they are savoring a coffee at a leisured pace, they are actually showing off!__eou__Yes. Behind a lifestyle, there is a culture. Young people easily become blind worshippers of a Westernized life. While they may not really like coffee, they think it desirable and enviable to be lavish with money in those high-consumption places.__eou__Then what about tea? We need to bear in mind in the first place that tea, rather than coffee, has been the most popular drink for the Chinese people.	Well. Tea represents another facet of popular culture. While a coffee bar is usually quiet and resonates with soft, elegant music, a teahouse is often a noisy, crowded, public space. People visit teahouses to associate with others, playing chess, chatting, or simply listening to operas.	Well. Tea represents another facet of popular culture. While a coffee bar is usually quiet and resonates with soft, elegant music, a teahouse is often a noisy, crowded, public space. People visit teahouses to associate with others, playing chess, chatting, or listening to operas.	What a pity that the traditional teahouses, as depicted by Lao She, keep fading away so quickly in this metropolis. It is not easy to find an old-fashioned teahouse that suits the ordinary people's spending power either. Teahouses of today all feature a cozy, comfortable environment, and high-quality services, but can easily cost you a good deal — just like a coffee bar.
6	1653	simply		Hey, Tom, did you enjoy your lunch?__eou__Oh, don't mention it. It was terrible.__eou__What' the matter?__eou__The food station was as crowded as usual. I waited for 20 minutes for my sandwich, and when I finally got it the chicken was underdone.	I see. You simply can't blame the server for this.	I see. You can't blame the server for this.	Yes, I know. Fast food is so popular in this district.
7	1760	simply		Hi dude, you look upset, what's up?__eou__Haven't been sleeping well recently.__eou__What's the problem?__eou__Every night my roommates watch the Korean soap operas till mid-night. I am not a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.	Well, you can simply tell them you want to sleep, or make an agreement for a time when the room should quiet down.	Well, you can tell them you want to sleep, or make an agreement for a time when the room should quiet down.	Yeah, I know, but I find these sorts of things hard to say. They won't like it if I tell them to turn off the TV. Now I just hope the show will end soon.
8	2223	simply		So can you fix it?	I’m sorry sir. This computer is not broken or damaged. It’s simply just too old! That’s why your programs and applications are running slow. There really isn’t much I can do.	I’m sorry sir. This computer is not broken or damaged. It’s just too old! That’s why your programs and applications are running slow. There really isn’t much I can do.	What do you mean? I bought this computer just three years ago!
9	2275	simply		How can I help you?__eou__I seem to have lost my train ticket.__eou__What’s your destination?__eou__I’m supposed to be going to shanghai.__eou__Ok. When is your train supposed to leave?__eou__It’s supposed to leave in 30 minutes.__eou__OH, dear. What’s your last name, please?__eou__S M I T H.__eou__And your passport number?__eou__Z3264356.__eou__Let me see ... it doesn’t look like we have any information about your ticket here.__eou__Is there anything you can do for me? If I don’t make it to shanghai in time, my wife is going go kill me.	Oh dear. I’m really sorry, sir. But you don’t have any proof of purchase. You’ll simply have to purchase another ticket.	Oh dear. I’m really sorry, sir. But you don’t have any proof of purchase. You’ll have to purchase another ticket.	How much is that going to cost me?
