source_row_index	id	particle	fold_id
122	not_15	not	0
124	not_81	not	0
133	not_383	not	0
134	not_460	not	0
139	not_768	not	0
155	not_1668	not	0
162	not_1761	not	0
164	not_1776	not	0
165	not_1804	not	0
170	not_2148	not	0
176	not_2467	not	0
177	not_2497	not	0
178	not_2551	not	0
120	not_5	not	1
123	not_71	not	1
126	not_244	not	1
130	not_319	not	1
132	not_379	not	1
136	not_698	not	1
138	not_729	not	1
144	not_1270	not	1
148	not_1385	not	1
149	not_1406	not	1
158	not_1700	not	1
167	not_2047	not	1
174	not_2405	not	1
