generation_rank	just_response	wo_just_response
generation_0	"I don't know why or what it is. I just have a bad feeling about this.""

But just as we're about to get into the movie, we must pause and take a brief look at an actual event in human history.

In 199"	"""I have a bad feeling about this.""- Luke Skywalker, Star Wars: A New Hope (1977) I have a bad feeling about this. ""I have a bad feeling about this.""- Obi-Wan Kenobi, Star Wars"
generation_1	I think I'll take the next shuttle. It's weird. I don't know how to explain it. I don't know what it is. [pause] I feel like I should take the next shuttle. [pause] I don't know	""": Anakin Skywalker[src]

A Rebel operative surveys the damage done to a rebel base.


A few weeks later, the Alliance had the chance to destroy the Death Star. Because of the Alliance's small size, the Rebels had to launch the attack with"
generation_2	"I think we're being set up."" Han Solo, a Corellian smuggler and friend of Skywalker, agrees to take the group to Alderaan in his ship, the Millennium Falcon, and is promised a reward. While the group boards the"	I've had a bad feeling about this since the beginning. It's been a long time since I've had a bad feeling about anything, and I'm not sure I like it. I think I'm beginning to like this feeling, but I'm
generation_3	"Thu, 05/06/2010 - 00:43 | 332983 chindit13
chindit13's picture

I was in Tokyo during the '89 earthquake, and it was a bad experience."	". . .""

So it was that the space shuttle Columbia was lost, nearly four decades after its original demise, 33 astronauts perished, and the dream of space flight took another step toward reality.

The Space Shuttle was NASA's pride and joy"
generation_4		"I won't be home until around 11pm tonight. 


input question: OPTIONS:
- negative
- positive. Generate a tweet that has the following sentiment: positive

Generated tweet: @tommcfly aww Tom, don't be"
generation_5	"[1]

Wookieepedia has 2 images related to The Bad Batch.
Battle of Geonosis (22 BBY)
The Geonosis system
Date 22 BBY
Location Geonosis
Result Droid"	"(Han Solo, Star Wars: Episode IV - A New Hope)

This phrasing is fairly common in English. It's not necessarily meant to be taken literally, but it emphasizes the speaker's concern or apprehension about a situation."
generation_6	"I have a bad feeling about this.

SFX: WORMS GROWLING

ANAKIN: I've got a bad feeling about this."	
generation_7		"(Star Wars) The Force will be with you always. (Star Wars) May the Force be with you. (Star Wars) The Force has a strong influence on the Destiny of those who use it. (Star Wars)

Some of the most"
generation_8	"I don't know what's going to happen next, but I don't like it.""

The droids were a very big component of 'The Force Awakens,' and the fact that they're coming back in 'The Last Jedi' makes sense."	"Does this product review convey a negative or positive sentiment?
The answer is: Positive"
generation_9	"It's like they're trying to tell us something.

They are. They're trying to tell us that we need to make it to the escape pods before the ship explodes.

I don't know. I'm not sure I agree with that. I"	
generation_10		"Why do I have a bad feeling about this?""

The best Star Wars jokes in the world. (And they're all on Twitter.)"
generation_11	"It's probably nothing but... I can't shake this feeling.""

""I don't see any danger, Han,"" Luke said, trying to reassure his friend. ""I had a feeling like that once too, but I was wrong.""

""Right,"" Han"	"I don't know, this... This is not good.

In Return of the Jedi, we see stormtroopers wearing blue armor. There is also a scene where Vader is in his ""life support"" armor, and there are stormtroopers in"
generation_12	"I don't like this place. I feel like we're gonna be killed out here.""

""Reassuring,"" said Han sarcastically.

""Look, I didn't ask to be frozen in carbonite,"" said Lando. ""I was trying"	"I'm not sure we have any actual evidence of anything other than the existence of the site itself.""
  6. 6.0 6.1 6.2 6.3 6.4 6.5 6"
generation_13	"We're going to need a bigger boat."" said in Russian?
Бронируя в режиме он-лайн Вы найдете специальные предложения и экономные цены, а"	". . .""

The ""Star Wars"" quote came from Han Solo (Harrison Ford), a character in the first film of the sci-fi series. The original trilogy, with its battles between the Rebel Alliance and the Evil Empire, is a classic"
