transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
only_to_exclusive_just	only	exclusive_just	0	attn	1	7
only_to_exclusive_just	only	exclusive_just	0	attn	3	7,6,11
only_to_exclusive_just	only	exclusive_just	0	attn	5	7,6,11,5,3
only_to_exclusive_just	only	exclusive_just	0	attn	10	7,6,11,5,3,13,10,2,12,1
only_to_exclusive_just	only	exclusive_just	1	attn	1	6
only_to_exclusive_just	only	exclusive_just	1	attn	3	6,3,5
only_to_exclusive_just	only	exclusive_just	1	attn	5	6,3,5,2,7
only_to_exclusive_just	only	exclusive_just	1	attn	10	6,3,5,2,7,1,11,4,9,10
only_to_exclusive_just	only	exclusive_just	0	mlp	1	8
only_to_exclusive_just	only	exclusive_just	0	mlp	3	8,7,3
only_to_exclusive_just	only	exclusive_just	0	mlp	5	8,7,3,11,6
only_to_exclusive_just	only	exclusive_just	0	mlp	10	8,7,3,11,6,15,16,17,22,24
only_to_exclusive_just	only	exclusive_just	1	mlp	1	6
only_to_exclusive_just	only	exclusive_just	1	mlp	3	6,3,5
only_to_exclusive_just	only	exclusive_just	1	mlp	5	6,3,5,7,4
only_to_exclusive_just	only	exclusive_just	1	mlp	10	6,3,5,7,4,2,16,24,0,29
only_to_exclusive_just	only	exclusive_just	0	resid	1	8
only_to_exclusive_just	only	exclusive_just	0	resid	3	8,11,7
only_to_exclusive_just	only	exclusive_just	0	resid	5	8,11,7,10,9
only_to_exclusive_just	only	exclusive_just	0	resid	10	8,11,7,10,9,6,12,5,13,4
only_to_exclusive_just	only	exclusive_just	1	resid	1	6
only_to_exclusive_just	only	exclusive_just	1	resid	3	6,7,8
only_to_exclusive_just	only	exclusive_just	1	resid	5	6,7,8,9,5
only_to_exclusive_just	only	exclusive_just	1	resid	10	6,7,8,9,5,11,10,4,3,12
